ZIP_Code,City,State,Median_Home_Value,Home_Value_Change_1Y,Median_Income,Unemployment_Rate,Crime_Rate_per_1k,Risk_Label
25795,SF,TX,1489706,3.6,159529,9.0,5.1,Safe
10860,SF,CA,2266878,3.1,135615,8.1,7.9,Risky
86820,Seattle,NY,478486,-4.7,145953,2.9,6.4,Risky
64886,SF,CO,1322509,-4.5,127087,9.6,7.3,Risky
16265,LA,WA,290586,2.5,44774,2.6,5.0,Safe
92386,NYC,GA,566204,-1.3,168782,6.5,3.6,Risky
47194,Houston,TX,2463256,0.8,121964,9.6,1.7,Safe
97498,Denver,GA,401746,-2.3,142674,8.6,2.9,Risky
54131,LA,FL,1637513,-3.3,60148,7.4,2.9,Risky
70263,Denver,FL,1814500,-2.0,84342,8.9,11.3,Risky
26023,Houston,FL,1940099,-2.5,93479,7.4,11.3,Risky
51090,NYC,IL,1735199,-0.5,54066,2.4,3.8,Risky
77221,Miami,TX,1572311,2.5,161469,4.8,2.2,Safe
74820,Denver,FL,2260716,0.5,121084,5.4,4.1,Safe
10769,Denver,IL,1277833,1.1,48779,6.4,9.8,Risky
69735,NYC,FL,2312669,-0.3,81562,3.8,10.6,Risky
72955,Atlanta,NY,1777795,-1.8,104627,9.0,6.5,Risky
74925,LA,TX,1082479,-3.6,104981,3.8,6.9,Risky
77969,Atlanta,IL,1599406,-1.5,88294,7.3,6.0,Risky
15311,Atlanta,FL,2187543,1.7,123176,9.0,3.0,Safe
93104,Atlanta,WA,2482370,2.3,50353,7.9,1.5,Safe
63707,SF,IL,617103,-0.3,152123,3.1,7.8,Risky
95305,Austin,FL,1165136,1.4,136406,9.6,9.8,Risky
38693,Denver,NY,1322322,-2.9,83377,2.7,9.2,Risky
81932,Atlanta,GA,1796380,3.6,165902,3.6,10.9,Risky
35658,LA,CO,2367162,3.7,61670,3.1,10.0,Risky
94478,Austin,FL,1446111,-1.8,44955,7.3,4.2,Risky
28431,Austin,GA,971130,0.5,83360,8.5,2.3,Safe
12747,Atlanta,TX,1524600,1.1,163689,3.9,5.7,Safe
69150,Seattle,NY,1267016,-0.3,40152,9.8,4.8,Risky
75725,Atlanta,WA,2091316,4.1,111445,3.1,9.0,Risky
94654,Seattle,TX,832275,2.4,67009,4.5,1.7,Safe
45773,Atlanta,WA,1218867,1.7,157426,5.9,11.4,Risky
77435,LA,GA,2245883,0.2,121039,8.5,11.5,Risky
66886,Seattle,NY,1987830,-4.2,155413,5.0,2.0,Risky
76803,SF,CA,1976874,-3.9,160388,3.4,5.8,Risky
41551,Austin,NY,1887731,-2.0,117270,5.7,10.9,Risky
21394,Atlanta,NY,2031799,-2.9,91517,5.8,3.1,Risky
79092,Austin,WA,1913028,4.5,171090,2.1,8.6,Risky
13890,Atlanta,CA,2132122,-0.9,91113,2.2,8.8,Risky
51606,Denver,IL,1353783,3.8,156539,4.2,3.6,Safe
90038,Denver,IL,2153390,3.2,79880,7.9,1.1,Safe
97313,Chicago,IL,501931,3.1,56484,4.9,8.3,Risky
20627,Atlanta,GA,1105037,-2.8,79606,3.7,7.8,Risky
18792,Chicago,NY,549118,-0.5,102618,2.9,8.1,Risky
83969,NYC,FL,1249930,-1.8,166804,4.2,2.7,Risky
53001,NYC,CA,1499732,4.7,54464,5.9,7.6,Risky
86552,Austin,FL,2499976,3.8,112671,2.7,7.0,Risky
33897,Seattle,GA,485351,-2.5,111565,2.1,6.0,Risky
78148,Atlanta,CA,159179,-1.9,173581,3.0,9.5,Risky
33483,Houston,FL,986045,0.3,173027,7.9,5.3,Safe
58555,Atlanta,CO,402114,-2.2,47078,5.7,4.9,Risky
27159,Atlanta,WA,2139316,3.2,145847,5.6,7.0,Risky
90077,Houston,GA,104718,3.2,167307,2.2,11.4,Risky
45920,NYC,GA,1056222,2.2,93932,7.7,4.8,Safe
77121,Chicago,CO,2338950,1.9,122830,3.6,5.9,Safe
79479,Austin,GA,885931,0.5,111699,2.7,3.9,Safe
99475,NYC,CA,641427,-1.5,85601,8.7,8.5,Risky
29457,Houston,FL,1410705,3.4,112251,5.9,5.0,Safe
76557,Atlanta,FL,2316956,3.6,128062,8.0,8.6,Risky
87189,NYC,TX,669070,-4.5,79373,8.6,2.6,Risky
88953,LA,GA,2419963,-1.0,165836,9.7,3.9,Risky
62995,Denver,IL,2166242,-4.7,137997,7.0,3.3,Risky
50757,Atlanta,NY,1479854,3.4,155292,2.5,9.6,Risky
19692,Miami,WA,1392821,-3.2,95001,6.5,2.0,Risky
55758,Houston,WA,1952021,1.7,82970,6.1,3.8,Safe
82409,SF,TX,340734,-1.4,169196,2.5,6.6,Risky
81211,Seattle,TX,1119326,3.2,87055,4.5,2.0,Safe
75697,SF,CA,2373098,0.1,122122,5.3,1.1,Safe
47065,NYC,TX,1057701,-1.8,121628,3.3,8.6,Risky
